Potential Skills Analysis
============================================================

Total jobs analyzed: 10447
Minimum frequency: 50
Minimum job count: 10

Term                           Jobs       Total      Avg/Job   
who loves                      53         53         1.0       
business. you                  53         54         1.02      
combining                      53         53         1.0       
london salary                  53         53         1.0       
smooth running                 53         53         1.0       
bonus benefits                 53         53         1.0       
main duties                    53         53         1.0       
highly regarded                53         53         1.0       
the industry                   53         53         1.0       
support.                       53         53         1.0       
all aspects                    53         54         1.02      
growing organisation           53         53         1.0       
field sales                    53         100        1.89      
macildowie are working         53         53         1.0       
company description            52         52         1.0       
forward-thinking organisation  52         52         1.0       
indispensable.                 52         52         1.0       
analysis the                   52         52         1.0       
analysts has                   52         52         1.0       
annually with                  52         52         1.0       
professionals earning          52         52         1.0       
earning salaries               52         52         1.0       
salaries upwards               52         52         1.0       
world data                     52         52         1.0       
decision-making making         52         52         1.0       
analyst indispensable.         52         52         1.0       
rise. with                     52         52         1.0       
analytics career               52         52         1.0       
data analysis the              52         52         1.0       
for data analysts              52         52         1.0       
data analysts has              52         52         1.0       
analysts has grown             52         52         1.0       
digital world data             52         52         1.0       
business decision-making making 52         52         1.0       
decision-making making the     52         52         1.0       
data analyst indispensable.    52         52         1.0       
the rise. with                 52         52         1.0       
rise. with our                 52         52         1.0       
with our data                  52         52         1.0       
our data analytics             52         52         1.0       
data analytics career          52         52         1.0       
analytics career programme     52         52         1.0       
experience required            52         52         1.0       
000 hybrid                     52         52         1.0       
principal                      52         64         1.23      
training provided              52         52         1.0       
that helps                     52         52         1.0       
city centre                    52         56         1.08      
the commercial                 52         53         1.02      
two days                       52         52         1.0       
facility                       52         53         1.02      
friendly and                   52         52         1.0       
provider.                      52         52         1.0       
strong focus                   51         51         1.0       
provided.                      51         51         1.0       
their data                     51         52         1.02      
your expertise                 51         51         1.0       
finance analyst                51         72         1.41      
fixed-term contract            51         52         1.02      
highly successful              51         51         1.0       
machine learning               51         78         1.53      
business opportunities         51         51         1.0       
that has                       51         54         1.06      
the customer                   51         62         1.22      
expanding and                  51         51         1.0       
this pivotal                   51         51         1.0       
now seeking                    51         51         1.0       
that will                      51         51         1.0       
management accounts            51         53         1.04      
financial controller           51         62         1.22      
management team                51         55         1.08      
paid media                     51         77         1.51      
property management            51         67         1.31      
solutions are                  50         50         1.0       
analytics and                  50         51         1.02      
500 per                        50         50         1.0       
analyst you                    50         51         1.02      
within data                    50         50         1.0       
use our                        50         50         1.0       
train and                      50         50         1.0       
their busy                     50         50         1.0       
and offers                     50         50         1.0       
hands-on experience            50         50         1.0       
operations across              50         50         1.0       
over the                       50         50         1.0       
exclusively with               50         50         1.0       
the people                     50         50         1.0       
environment that               50         50         1.0       
brands.                        50         50         1.0       
details this                   50         50         1.0       
client details this            50         50         1.0       
your skills                    50         50         1.0       
areas.                         50         50         1.0       
professional and               50         50         1.0       
will join                      50         50         1.0       
and new                        50         50         1.0       
payroll and                    50         53         1.06      
business who                   50         50         1.0       
estate agent                   50         65         1.3       
and repair                     50         50         1.0       
services organisation          49         50         1.02      
and provide                    49         50         1.02      
00am                           49         54         1.1       
the sales                      49         57         1.16      
3-month                        48         51         1.06      
head office                    48         51         1.06      
air                            48         63         1.31      
and experience                 47         50         1.06      
north west                     47         51         1.09      
reliability                    47         52         1.11      
wealth management              47         50         1.06      
maternity cover                47         51         1.09      
data governance                46         67         1.46      
customer experience            46         53         1.15      
january 2026                   46         51         1.11      
sourcing                       46         56         1.22      
commercial finance             46         64         1.39      
software developer             45         65         1.44      
devops                         45         61         1.36      
operations team                45         54         1.2       
engineering team               45         51         1.13      
civil                          45         62         1.38      
database                       44         70         1.59      
.net developer                 44         112        2.55      
business support               44         73         1.66      
both commercial                44         53         1.2       
and safety                     43         51         1.19      
support officer                42         66         1.57      
residential property           42         57         1.36      
business intelligence          41         52         1.27      
data quality                   41         60         1.46      
lead data                      41         52         1.27      
both commercial and            41         50         1.22      
senior data engineer           40         61         1.52      
co-ordinator                   40         52         1.3       
technical support              40         52         1.3       
digital agency                 40         59         1.48      
service engineer               40         70         1.75      
data migration                 39         54         1.38      
data architect                 38         70         1.84      
product manager                38         61         1.61      
senior finance                 38         50         1.32      
senior business                37         58         1.57      
finance assistant              37         53         1.43      
area sales                     37         73         1.97      
purchase ledger                36         50         1.39      
field service                  35         61         1.74      
sales executive                34         55         1.62      
office administrator           34         56         1.65      
sales negotiator               32         64         2.0       
java                           31         53         1.71      
billing                        31         52         1.68      
store manager                  31         51         1.65      
power platform                 30         56         1.87      
private client                 30         56         1.87      
field service engineer         29         52         1.79      
property manager               29         53         1.83      
red bull                       27         52         1.93      
vehicle technician             25         50         2.0       
